Gene_ID	Gene_Name	TSS_ID	TSS_Locus	Strand	Max_Expr	RE_Locus	Max_Hist	Distance	Closest_Locus	Closest_TSS	Histone	Correlation	Correlation_P_Value	Distance_P_Value	CnD_P_Value	Q_Value
ENSG00000157551.11	KCNJ15	ENST00000398934.1	chr21:39644429-39644429	+	5.82	chr21:39355951-39356490	0.00	-287939	F	F	H3k27ac	0.92702	1.583e-03	5.761e-01	7.297e-03	5.998e-01
ENSG00000160216.11	AGPAT3	ENST00000448287.1	chr21:45287123-45287123	+	16.73	chr21:44884987-44885252	2.93	-401871	F	F	H3k27ac	0.92142	1.819e-03	8.038e-01	1.101e-02	6.944e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44832116-44832655	24.82	-14353	F	T	H3k4me3	0.84049	1.908e-03	1.000e+00	1.386e-02	7.426e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44764160-44764667	7.42	82341	F	F	H3k27ac	0.91845	1.971e-03	1.651e-01	2.939e-03	4.177e-01
ENSG00000173638.12	SLC19A1	ENST00000380014.2	chr21:46962351-46962351	-	27.06	chr21:46739403-46739942	9.02	222409	F	F	H3k27ac	0.91655	2.029e-03	4.451e-01	7.234e-03	5.998e-01
ENSG00000173638.12	SLC19A1	ENST00000380010.4	chr21:46962385-46962385	-	26.00	chr21:46739403-46739942	9.02	222443	F	F	H3k27ac	0.91552	2.052e-03	4.452e-01	7.306e-03	5.998e-01
ENSG00000160214.6	RRP1	ENST00000291569.5	chr21:45209446-45209446	+	150.09	chr21:45010043-45010582	2.39	-198864	F	F	H3k27ac	-0.91283	2.110e-03	3.981e-01	6.789e-03	5.998e-01
ENSG00000160214.6	RRP1	ENST00000400387.3	chr21:45209457-45209457	+	151.00	chr21:45010043-45010582	2.39	-198875	F	F	H3k27ac	-0.91107	2.161e-03	3.981e-01	6.932e-03	5.998e-01
ENSG00000160214.6	RRP1	ENST00000291569.5	chr21:45209446-45209446	+	150.09	chr21:45011428-45011967	4.34	-197479	F	F	H3k27ac	-0.90623	2.326e-03	3.953e-01	7.347e-03	5.998e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:45066431-45066634	21.17	-82147	F	F	H3k27ac	-0.90506	2.351e-03	1.645e-01	3.425e-03	4.177e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:45059582-45060121	4.18	-212574	F	F	H3k27ac	0.90466	2.361e-03	4.255e-01	7.939e-03	6.146e-01
ENSG00000160209.12	PDXK	ENST00000463355.1	chr21:45139028-45139028	+	116.89	chr21:44860419-44861441	21.06	-277587	F	F	H3k27ac	0.90457	2.369e-03	5.556e-01	1.005e-02	6.633e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:45066431-45066634	21.17	-82164	F	F	H3k27ac	-0.90442	2.371e-03	1.645e-01	3.452e-03	4.177e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:45066431-45066634	21.17	-82160	F	F	H3k27ac	-0.90440	2.374e-03	1.645e-01	3.455e-03	4.177e-01
ENSG00000160214.6	RRP1	ENST00000400387.3	chr21:45209457-45209457	+	151.00	chr21:45011428-45011967	4.34	-197490	F	F	H3k27ac	-0.90432	2.381e-03	3.953e-01	7.501e-03	5.998e-01
ENSG00000197381.9	ADARB1	ENST00000437626.1	chr21:46494515-46494515	+	14.50	chr21:46470640-46471179	10.42	-23336	F	F	H3k27ac	0.90412	2.389e-03	4.719e-02	1.137e-03	3.162e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44917912-44918451	14.10	-70904	F	F	H3k27ac	0.90352	2.407e-03	1.423e-01	3.075e-03	4.177e-01
ENSG00000154639.14	CXADR	ENST00000400166.1	chr21:18885364-18885364	+	436.76	chr21:18899437-18899976	31.42	14073	T	F	H3k27ac	0.90004	2.528e-03	2.867e-02	7.634e-04	2.724e-01
ENSG00000197381.9	ADARB1	ENST00000462214.1	chr21:46493768-46493768	+	7.71	chr21:46470640-46471179	10.42	22589	F	T	H3k4me3	0.81887	2.590e-03	1.000e+00	1.802e-02	7.627e-01
ENSG00000197381.9	ADARB1	ENST00000462214.1	chr21:46493768-46493768	+	7.71	chr21:46470870-46471409	10.42	22359	T	T	H3k4me3	0.82996	2.590e-03	1.000e+00	1.802e-02	7.627e-01
ENSG00000160214.6	RRP1	ENST00000291569.5	chr21:45209446-45209446	+	150.09	chr21:45029623-45029781	17.91	-179665	F	F	H3k27ac	-0.89420	2.797e-03	3.594e-01	7.944e-03	6.146e-01
ENSG00000166979.8	C21orf63	ENST00000481638.1	chr21:33785072-33785072	+	6.31	chr21:33814787-33815326	6.75	29715	F	F	H3k27ac	0.89337	2.822e-03	5.994e-02	1.638e-03	3.427e-01
ENSG00000160214.6	RRP1	ENST00000400387.3	chr21:45209457-45209457	+	151.00	chr21:45029623-45029781	17.91	-179676	F	F	H3k27ac	-0.89220	2.860e-03	3.595e-01	8.101e-03	6.159e-01
ENSG00000197381.9	ADARB1	ENST00000539917.1	chr21:46494493-46494493	+	14.73	chr21:46470640-46471179	10.42	-23314	F	F	H3k27ac	0.89097	2.898e-03	4.714e-02	1.352e-03	3.427e-01
ENSG00000160221.10	C21orf33	ENST00000348499.5	chr21:45553562-45553562	+	40.27	chr21:45066431-45066634	21.17	-486928	F	F	H3k27ac	-0.88894	2.997e-03	9.739e-01	1.995e-02	7.751e-01
ENSG00000184809.8	C21orf88	ENST00000329618.6	chr21:40984748-40984748	-	12.05	chr21:40685346-40685885	38.40	298863	F	F	H3k27ac	-0.88670	3.103e-03	5.979e-01	1.353e-02	7.426e-01
ENSG00000205581.6	HMGN1	ENST00000485550.1	chr21:40720523-40720523	-	32.24	chr21:40685346-40685885	38.40	34638	T	F	H3k27ac	-0.88328	3.232e-03	6.978e-02	2.120e-03	3.628e-01
ENSG00000173638.12	SLC19A1	ENST00000380014.2	chr21:46962351-46962351	-	27.06	chr21:46785643-46786182	37.12	176169	F	F	H3k27ac	0.88110	3.367e-03	3.527e-01	9.186e-03	6.415e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44848098-44848369	33.68	-300412	F	F	H3k27ac	-0.88022	3.400e-03	6.009e-01	1.470e-02	7.523e-01
ENSG00000197381.9	ADARB1	ENST00000327861.6	chr21:46494484-46494484	+	12.87	chr21:46470640-46471179	10.42	-23305	F	F	H3k27ac	0.87886	3.481e-03	4.712e-02	1.594e-03	3.427e-01
ENSG00000173638.12	SLC19A1	ENST00000380010.4	chr21:46962385-46962385	-	26.00	chr21:46785643-46786182	37.12	176203	F	F	H3k27ac	0.87665	3.623e-03	3.528e-01	9.792e-03	6.633e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43135735-43136274	27.31	50992	F	F	H3k27ac	0.87355	3.813e-03	1.025e-01	3.457e-03	4.177e-01
ENSG00000197381.9	ADARB1	ENST00000437626.1	chr21:46494515-46494515	+	14.50	chr21:46470870-46471409	10.42	-23106	T	F	H3k27ac	0.86994	4.048e-03	4.673e-02	1.811e-03	3.427e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44848098-44848369	33.68	-300425	F	F	H3k27ac	-0.86959	4.068e-03	6.010e-01	1.715e-02	7.627e-01
ENSG00000160209.12	PDXK	ENST00000476084.1	chr21:45139058-45139058	+	92.77	chr21:44860419-44861441	21.06	-277617	F	F	H3k27ac	0.86931	4.079e-03	5.557e-01	1.607e-02	7.619e-01
ENSG00000159200.12	RCAN1	ENST00000481448.1	chr21:35899148-35899148	-	527.54	chr21:35898945-35899484	35.12	0	T	T	H3k4me3	0.80452	4.089e-03	2.123e-01	6.988e-03	5.998e-01
ENSG00000160209.12	PDXK	ENST00000398085.3	chr21:45139057-45139057	+	93.14	chr21:44860419-44861441	21.06	-277616	F	F	H3k27ac	0.86880	4.096e-03	5.557e-01	1.613e-02	7.619e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44753165-44753648	18.69	93360	F	F	H3k27ac	0.86610	4.261e-03	1.871e-01	6.485e-03	5.998e-01
ENSG00000230479.1	AP000695.6	ENST00000429588.1	chr21:37802658-37802658	+	57.14	chr21:37810040-37810579	15.64	7382	F	T	H3k27ac	0.86399	4.355e-03	1.529e-02	7.071e-04	2.724e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44848098-44848369	33.68	-300429	F	F	H3k27ac	-0.86369	4.365e-03	6.010e-01	1.821e-02	7.627e-01
ENSG00000183255.6	PTTG1IP	ENST00000423073.2	chr21:46293650-46293650	-	249.00	chr21:46783931-46784285	16.11	-490281	F	F	H3k27ac	0.86290	4.403e-03	9.806e-01	2.783e-02	7.866e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43188588-43189127	33.70	-1322	T	T	H3k27ac	0.85432	4.915e-03	3.181e-03	1.886e-04	2.681e-01
ENSG00000197381.9	ADARB1	ENST00000539917.1	chr21:46494493-46494493	+	14.73	chr21:46470870-46471409	10.42	-23084	T	F	H3k27ac	0.85417	4.925e-03	4.668e-02	2.156e-03	3.628e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44753165-44753648	18.69	-395133	F	F	H3k27ac	-0.85066	5.130e-03	7.904e-01	2.639e-02	7.866e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44848098-44848369	33.68	1090	F	T	H3k4me3	0.78678	5.180e-03	1.000e+00	3.244e-02	7.868e-01
ENSG00000160209.12	PDXK	ENST00000463355.1	chr21:45139028-45139028	+	116.89	chr21:44922978-44923355	15.45	-215673	F	F	H3k27ac	0.84924	5.193e-03	4.316e-01	1.591e-02	7.619e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:45005897-45006413	23.97	-142368	F	F	H3k27ac	-0.84692	5.315e-03	2.851e-01	1.135e-02	6.968e-01
ENSG00000160199.7	PKNOX1	ENST00000432907.2	chr21:44394751-44394751	+	14.76	chr21:44839299-44839838	33.68	444548	F	F	H3k27ac	0.84501	5.439e-03	8.892e-01	3.062e-02	7.868e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44914527-44914700	16.37	-234081	F	F	H3k27ac	-0.84479	5.454e-03	4.683e-01	1.780e-02	7.627e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44936643-44937264	18.84	-211517	F	F	H3k27ac	-0.84413	5.502e-03	4.234e-01	1.645e-02	7.622e-01
ENSG00000188660.3	C21orf125	ENST00000448049.1	chr21:44866481-44866481	+	5.38	chr21:44762738-44763466	17.99	-103015	F	F	H3k27ac	0.84360	5.515e-03	2.066e-01	8.862e-03	6.409e-01
ENSG00000215386.5	C21orf34	ENST00000435697.1	chr21:17791752-17791752	+	9.78	chr21:17613837-17614376	12.94	-177376	F	F	H3k27ac	0.84236	5.566e-03	3.551e-01	1.428e-02	7.523e-01
ENSG00000205581.6	HMGN1	ENST00000471260.1	chr21:40720546-40720546	-	32.35	chr21:40685346-40685885	38.40	34661	T	F	H3k27ac	-0.84116	5.611e-03	6.982e-02	3.465e-03	4.177e-01
ENSG00000197381.9	ADARB1	ENST00000327861.6	chr21:46494484-46494484	+	12.87	chr21:46470870-46471409	10.42	-23075	T	F	H3k27ac	0.84071	5.626e-03	4.666e-02	2.427e-03	3.628e-01
ENSG00000205581.6	HMGN1	ENST00000482192.1	chr21:40720549-40720549	-	32.44	chr21:40685346-40685885	38.40	34664	T	F	H3k27ac	-0.84063	5.629e-03	6.983e-02	3.475e-03	4.177e-01
ENSG00000157538.8	DSCR3	ENST00000399000.3	chr21:38640220-38640220	-	5.89	chr21:38255995-38256567	4.86	383653	F	F	H3k27ac	0.83953	5.692e-03	7.674e-01	2.810e-02	7.866e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44753165-44753648	18.69	-395146	F	F	H3k27ac	-0.83855	5.756e-03	7.904e-01	2.908e-02	7.866e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44914527-44914700	16.37	-234094	F	F	H3k27ac	-0.83842	5.766e-03	4.683e-01	1.867e-02	7.627e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44914527-44914700	16.37	-234098	F	F	H3k27ac	-0.83749	5.816e-03	4.683e-01	1.881e-02	7.627e-01
ENSG00000142192.13	APP	ENST00000474136.1	chr21:27543064-27543064	-	476.13	chr21:27512409-27512948	5.36	30116	F	F	H3k27ac	0.83619	5.905e-03	6.074e-02	3.204e-03	4.177e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43098487-43098869	18.89	88397	F	F	H3k27ac	0.83606	5.915e-03	1.771e-01	8.236e-03	6.209e-01
ENSG00000184809.8	C21orf88	ENST00000329618.6	chr21:40984748-40984748	-	12.05	chr21:41005534-41006073	1.95	-20786	T	F	H3k27ac	0.83556	5.951e-03	4.209e-02	2.327e-03	3.628e-01
ENSG00000142192.13	APP	ENST00000354192.3	chr21:27543065-27543065	-	476.78	chr21:27512409-27512948	5.36	30117	F	F	H3k27ac	0.83547	5.953e-03	6.074e-02	3.227e-03	4.177e-01
ENSG00000159079.12	C21orf59	ENST00000382549.4	chr21:33984896-33984896	-	213.74	chr21:33814787-33815326	6.75	169570	F	F	H3k27ac	-0.83512	5.976e-03	3.395e-01	1.461e-02	7.523e-01
ENSG00000183036.6	PCP4	ENST00000468717.1	chr21:41239377-41239377	+	29.60	chr21:41005534-41006073	1.95	-233304	T	F	H3k27ac	0.83512	5.976e-03	4.669e-01	1.920e-02	7.659e-01
ENSG00000215386.5	C21orf34	ENST00000453910.1	chr21:17791838-17791838	+	10.60	chr21:17936130-17936429	11.58	144292	T	F	H3k27ac	0.83462	5.999e-03	2.888e-01	1.275e-02	7.287e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44753165-44753648	18.69	-395150	F	F	H3k27ac	-0.83434	6.014e-03	7.904e-01	3.018e-02	7.866e-01
ENSG00000142192.13	APP	ENST00000452232.2	chr21:27543085-27543085	-	470.48	chr21:27512409-27512948	5.36	30137	F	F	H3k27ac	0.83355	6.077e-03	6.078e-02	3.289e-03	4.177e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44897803-44898291	47.59	-250490	F	F	H3k27ac	-0.83352	6.080e-03	5.012e-01	2.070e-02	7.837e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:45005897-45006413	23.97	-142381	F	F	H3k27ac	-0.83348	6.082e-03	2.851e-01	1.276e-02	7.287e-01
ENSG00000142192.13	APP	ENST00000346798.3	chr21:27542972-27542972	-	18.34	chr21:27512409-27512948	5.36	30024	F	F	H3k27ac	0.83306	6.105e-03	6.055e-02	3.291e-03	4.177e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44897803-44898295	47.59	-250486	F	F	H3k27ac	-0.83271	6.118e-03	5.012e-01	2.081e-02	7.845e-01
ENSG00000142192.13	APP	ENST00000357903.3	chr21:27543105-27543105	-	446.54	chr21:27512409-27512948	5.36	30157	F	F	H3k27ac	0.83213	6.133e-03	6.082e-02	3.318e-03	4.177e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44936643-44937264	18.84	-211530	F	F	H3k27ac	-0.83137	6.186e-03	4.234e-01	1.819e-02	7.627e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:45005897-45006413	23.97	-142385	F	F	H3k27ac	-0.83127	6.186e-03	2.851e-01	1.295e-02	7.287e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44839299-44839838	33.68	-7170	F	T	H3k4me3	0.75203	6.270e-03	1.000e+00	3.807e-02	8.085e-01
ENSG00000183421.6	RIPK4	ENST00000352483.2	chr21:43187266-43187266	-	8.39	chr21:43188588-43189127	33.70	1322	T	T	H3k4me3	0.75008	6.270e-03	1.000e+00	3.807e-02	8.085e-01
ENSG00000142192.13	APP	ENST00000415997.1	chr21:27423348-27423348	-	100.99	chr21:27512409-27512948	5.36	-89061	T	F	H3k27ac	0.82875	6.331e-03	1.786e-01	8.801e-03	6.409e-01
ENSG00000142192.13	APP	ENST00000491395.1	chr21:27423334-27423334	-	100.83	chr21:27512409-27512948	5.36	-89075	T	F	H3k27ac	0.82853	6.351e-03	1.786e-01	8.826e-03	6.409e-01
ENSG00000159259.4	CHAF1B	ENST00000314103.4	chr21:37757676-37757676	+	57.75	chr21:37850516-37850820	60.77	92840	F	F	H3k27ac	-0.82829	6.361e-03	1.859e-01	9.154e-03	6.415e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44936643-44937264	18.84	-211534	F	F	H3k27ac	-0.82827	6.361e-03	4.234e-01	1.863e-02	7.627e-01
ENSG00000160201.7	U2AF1	ENST00000291552.4	chr21:44527697-44527697	-	450.40	chr21:44884987-44885252	2.93	-357290	F	F	H3k27ac	-0.82738	6.417e-03	7.147e-01	2.928e-02	7.866e-01
ENSG00000160209.12	PDXK	ENST00000291565.4	chr21:45138993-45138993	+	92.62	chr21:44922978-44923355	15.45	-215638	F	F	H3k27ac	0.82732	6.419e-03	4.315e-01	1.908e-02	7.653e-01
ENSG00000159079.12	C21orf59	ENST00000458138.1	chr21:33984865-33984865	-	205.82	chr21:33814787-33815326	6.75	169539	F	F	H3k27ac	-0.82566	6.544e-03	3.394e-01	1.579e-02	7.619e-01
ENSG00000160209.12	PDXK	ENST00000398081.1	chr21:45138975-45138975	+	91.48	chr21:44922978-44923355	15.45	-215620	F	F	H3k27ac	0.82474	6.627e-03	4.315e-01	1.961e-02	7.711e-01
ENSG00000160209.12	PDXK	ENST00000468090.1	chr21:45138978-45138978	+	91.51	chr21:44922978-44923355	15.45	-215623	F	F	H3k27ac	0.82443	6.650e-03	4.315e-01	1.966e-02	7.711e-01
ENSG00000160209.12	PDXK	ENST00000398085.3	chr21:45139057-45139057	+	93.14	chr21:44922978-44923355	15.45	-215702	F	F	H3k27ac	0.82440	6.652e-03	4.316e-01	1.968e-02	7.711e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44847035-44847331	36.06	-27	T	T	H3k4me3	0.73877	6.679e-03	1.524e-01	8.033e-03	6.159e-01
ENSG00000160209.12	PDXK	ENST00000327574.4	chr21:45148781-45148781	+	11.25	chr21:44917912-44918451	14.10	-230330	F	F	H3k27ac	-0.82231	6.784e-03	4.610e-01	2.116e-02	7.866e-01
ENSG00000159140.12	SON	ENST00000381679.4	chr21:34915371-34915371	+	664.38	chr21:34576304-34576843	14.77	-338528	F	F	H3k27ac	-0.82194	6.817e-03	6.772e-01	2.945e-02	7.866e-01
ENSG00000159140.12	SON	ENST00000492229.1	chr21:34915376-34915376	+	664.29	chr21:34576304-34576843	14.77	-338533	F	F	H3k27ac	-0.82193	6.817e-03	6.772e-01	2.945e-02	7.866e-01
ENSG00000160209.12	PDXK	ENST00000476084.1	chr21:45139058-45139058	+	92.77	chr21:44922978-44923355	15.45	-215703	F	F	H3k27ac	0.82175	6.827e-03	4.316e-01	2.012e-02	7.781e-01
ENSG00000159140.12	SON	ENST00000290239.6	chr21:34915350-34915350	+	663.75	chr21:34576304-34576843	14.77	-338507	F	F	H3k27ac	-0.82150	6.830e-03	6.772e-01	2.949e-02	7.866e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44752165-44752704	18.69	94304	F	F	H3k27ac	0.81909	7.038e-03	1.890e-01	1.014e-02	6.633e-01
ENSG00000205581.6	HMGN1	ENST00000380748.1	chr21:40720979-40720979	-	59.65	chr21:40466936-40467475	5.30	253504	F	F	H3k27ac	-0.81862	7.078e-03	5.073e-01	2.380e-02	7.866e-01
ENSG00000160199.7	PKNOX1	ENST00000432907.2	chr21:44394751-44394751	+	14.76	chr21:44832116-44832655	24.82	437365	F	F	H3k27ac	0.81860	7.078e-03	8.748e-01	3.767e-02	8.085e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:45020575-45020861	28.70	-173567	F	F	H3k27ac	0.81828	7.101e-03	3.473e-01	1.728e-02	7.627e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44897803-44898291	47.59	-250503	F	F	H3k27ac	-0.81701	7.187e-03	5.012e-01	2.387e-02	7.866e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44897803-44898295	47.59	-250499	F	F	H3k27ac	-0.81657	7.220e-03	5.012e-01	2.396e-02	7.866e-01
ENSG00000160201.7	U2AF1	ENST00000380276.2	chr21:44527675-44527675	-	622.77	chr21:45011428-45011967	4.34	-483753	F	F	H3k27ac	-0.81650	7.222e-03	9.675e-01	4.167e-02	8.210e-01
ENSG00000160201.7	U2AF1	ENST00000486519.1	chr21:44527680-44527680	-	614.66	chr21:45011428-45011967	4.34	-483748	F	F	H3k27ac	-0.81568	7.273e-03	9.675e-01	4.192e-02	8.210e-01
ENSG00000142192.13	APP	ENST00000474136.1	chr21:27543064-27543064	-	476.13	chr21:27539128-27539667	52.78	3397	T	F	H3k27ac	0.81544	7.286e-03	7.329e-03	5.787e-04	2.681e-01
ENSG00000142192.13	APP	ENST00000354192.3	chr21:27543065-27543065	-	476.78	chr21:27539128-27539667	52.78	3398	T	F	H3k27ac	0.81473	7.316e-03	7.331e-03	5.810e-04	2.681e-01
ENSG00000159140.12	SON	ENST00000381679.4	chr21:34915371-34915371	+	664.38	chr21:34576102-34576641	14.77	-338730	F	F	H3k27ac	-0.81424	7.339e-03	6.776e-01	3.135e-02	7.868e-01
ENSG00000159140.12	SON	ENST00000492229.1	chr21:34915376-34915376	+	664.29	chr21:34576102-34576641	14.77	-338735	F	F	H3k27ac	-0.81423	7.342e-03	6.776e-01	3.136e-02	7.868e-01
ENSG00000142197.7	DOPEY2	ENST00000270190.4	chr21:37529080-37529080	+	5.34	chr21:37850516-37850820	60.77	321436	F	F	H3k27ac	0.81403	7.349e-03	6.430e-01	3.003e-02	7.866e-01
ENSG00000159140.12	SON	ENST00000290239.6	chr21:34915350-34915350	+	663.75	chr21:34576102-34576641	14.77	-338709	F	F	H3k27ac	-0.81380	7.362e-03	6.776e-01	3.143e-02	7.868e-01
ENSG00000160201.7	U2AF1	ENST00000398137.1	chr21:44527688-44527688	-	575.88	chr21:44884987-44885252	2.93	-357299	F	F	H3k27ac	-0.81383	7.362e-03	7.147e-01	3.287e-02	7.881e-01
ENSG00000142192.13	APP	ENST00000452232.2	chr21:27543085-27543085	-	470.48	chr21:27539128-27539667	52.78	3418	T	F	H3k27ac	0.81287	7.410e-03	7.371e-03	5.907e-04	2.681e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44897803-44898291	47.59	-250507	F	F	H3k27ac	-0.81175	7.483e-03	5.013e-01	2.470e-02	7.866e-01
ENSG00000160209.12	PDXK	ENST00000476313.1	chr21:45148798-45148798	+	10.87	chr21:44897803-44898295	47.59	-250503	F	F	H3k27ac	-0.81158	7.494e-03	5.013e-01	2.473e-02	7.866e-01
ENSG00000142192.13	APP	ENST00000357903.3	chr21:27543105-27543105	-	446.54	chr21:27539128-27539667	52.78	3438	T	F	H3k27ac	0.81112	7.537e-03	7.411e-03	6.028e-04	2.681e-01
ENSG00000160209.12	PDXK	ENST00000472777.1	chr21:45148794-45148794	+	11.01	chr21:44917912-44918451	14.10	-230343	F	F	H3k27ac	-0.81021	7.615e-03	4.610e-01	2.335e-02	7.866e-01
ENSG00000160201.7	U2AF1	ENST00000398137.1	chr21:44527688-44527688	-	575.88	chr21:45011428-45011967	4.34	-483740	F	F	H3k27ac	-0.81010	7.618e-03	9.675e-01	4.356e-02	8.210e-01
ENSG00000160201.7	U2AF1	ENST00000380276.2	chr21:44527675-44527675	-	622.77	chr21:45010043-45010582	2.39	-482368	F	F	H3k27ac	-0.80825	7.749e-03	9.648e-01	4.408e-02	8.210e-01
ENSG00000160201.7	U2AF1	ENST00000486519.1	chr21:44527680-44527680	-	614.66	chr21:45010043-45010582	2.39	-482363	F	F	H3k27ac	-0.80751	7.790e-03	9.647e-01	4.427e-02	8.210e-01
ENSG00000142178.7	SIK1	ENST00000270162.6	chr21:44847008-44847008	-	123.18	chr21:44922978-44923355	15.45	-75970	F	F	H3k27ac	0.80655	7.843e-03	1.523e-01	9.231e-03	6.415e-01
